"gene" "mitochondrial_source"
"NCOA1" "Co-annotation + MC-20"
"NCOA2" "Co-annotation + MC-20"
"NCOA6" "Co-annotation + MC-20"
"ND1" "Co-annotation + MC-20"
"ND2" "Co-annotation + MC-20"
"ND3" "Co-annotation + MC-20"
"ND4" "Co-annotation + MC-20"
"ND4L" "Co-annotation + MC-20"
"ND5" "Co-annotation + MC-20"
"ND6" "Co-annotation + MC-20"
"NDUFA1" "both"
"NDUFA10" "both"
"NDUFA11" "both"
"NDUFA12" "both"
"NDUFA13" "both"
"NDUFA2" "both"
"NDUFA3" "both"
"NDUFA4" "both"
"NDUFA4L2" "Co-annotation + MC-20"
"NDUFA5" "both"
"NDUFA6" "both"
"NDUFA7" "both"
"NDUFA8" "both"
"NDUFA9" "both"
"NDUFAB1" "both"
"NDUFAF1" "both"
"NDUFAF2" "both"
"NDUFAF3" "both"
"NDUFAF4" "both"
"NDUFAF5" "both"
"NDUFAF6" "both"
"NDUFAF7" "both"
"NDUFAF8" "mitocarta-3"
"NDUFB1" "both"
"NDUFB10" "both"
"NDUFB11" "both"
"NDUFB2" "both"
"NDUFB3" "both"
"NDUFB4" "both"
"NDUFB5" "both"
"NDUFB6" "both"
"NDUFB7" "both"
"NDUFB8" "both"
"NDUFB9" "both"
"NDUFC1" "both"
"NDUFC2" "both"
"NDUFS1" "both"
"NDUFS2" "both"
"NDUFS3" "both"
"NDUFS4" "both"
"NDUFS5" "both"
"NDUFS6" "both"
"NDUFS7" "both"
"NDUFS8" "both"
"NDUFV1" "both"
"NDUFV2" "both"
"NDUFV3" "both"
"NEU4" "mitocarta-3"
"NFS1" "mitocarta-3"
"NFU1" "mitocarta-3"
"NGRN" "mitocarta-3"
"NIF3L1" "mitocarta-3"
"NIPSNAP1" "mitocarta-3"
"NIPSNAP2" "mitocarta-3"
"NIPSNAP3A" "mitocarta-3"
"NIPSNAP3B" "mitocarta-3"
"NIT1" "mitocarta-3"
"NIT2" "mitocarta-3"
"NLN" "mitocarta-3"
"NLRX1" "mitocarta-3"
"NME3" "mitocarta-3"
"NME4" "mitocarta-3"
"NME6" "mitocarta-3"
"NMNAT3" "mitocarta-3"
"NNT" "both"
"NOA1" "mitocarta-3"
"NOCT" "mitocarta-3"
"NR1D1" "Co-annotation + MC-20"
"NRDC" "mitocarta-3"
"NSUN2" "mitocarta-3"
"NSUN3" "mitocarta-3"
"NSUN4" "mitocarta-3"
"NT5DC2" "mitocarta-3"
"NT5DC3" "mitocarta-3"
"NT5M" "mitocarta-3"
"NTHL1" "mitocarta-3"
"NUBPL" "both"
"NUDT13" "mitocarta-3"
"NUDT19" "mitocarta-3"
"NUDT2" "mitocarta-3"
"NUDT5" "mitocarta-3"
"NUDT6" "mitocarta-3"
"NUDT8" "mitocarta-3"
"NUDT9" "mitocarta-3"
"OAT" "mitocarta-3"
"OCIAD1" "mitocarta-3"
"OCIAD2" "mitocarta-3"
"OGDH" "both"
"OGDHL" "mitocarta-3"
"OGG1" "mitocarta-3"
"OMA1" "mitocarta-3"
"OPA1" "mitocarta-3"
"OPA3" "mitocarta-3"
"OSBPL1A" "mitocarta-3"
"OSGEPL1" "mitocarta-3"
"OTC" "both"
"OXA1L" "both"
"OXCT1" "mitocarta-3"
"OXCT2" "mitocarta-3"
"OXLD1" "mitocarta-3"
"OXNAD1" "mitocarta-3"
"OXR1" "mitocarta-3"
"OXSM" "mitocarta-3"
"PABPC5" "mitocarta-3"
